,Country Name,,RTG_MDY_OUTLOOK,RTG_MDY_OUTLOOK_DT,RTG_SP_OUTLOOK,"RTG_SP_OUTLOOK_DT
","RTG_MDY_FC_CURR_ISSUER_RATING
",RTG_MDY_FC_CURR_ISSUER_RTG_DT,RTG_MDY_FC_CURR_ISSUER_SCORE,"RTG_SP_LT_FC_ISSUER_CREDIT
","RTG_SP_LT_FC_ISS_CRED_RTG_DT
",RTG_SP_FC_CURR_ISSUER_SCORE
,Abu Dhabi,3/20/2025,STABLE,5/25/2017,STABLE,7/2/2007,Aa2,5/14/2016,3,AA,7/2/2007,3
,Albania,3/21/2025,STABLE,10/18/2024,STABLE,3/21/2025,Ba3,10/18/2024,13,BB,3/21/2025,12
,Algeria,,,,,,,,100,,,100
,Andorra,5/9/2025,STABLE,1/19/2024,STABLE,5/9/2025,Baa1,1/19/2024,8,A-,5/10/2024,7
,Angola,11/29/2024,STABLE,11/29/2024,STABLE,2/4/2022,B3,9/13/2021,16,B-,2/4/2022,16
,Argentina,7/17/2025,STABLE,7/17/2025,,,Caa1,7/17/2025,17,CCC,3/15/2024,18
,Armenia,6/26/2025,STABLE,6/22/2023,STABLE,8/25/2023,Ba3,8/27/2019,13,BB-,8/25/2023,13
,Aruba,3/24/2025,STABLE,5/24/2024,STABLE,3/24/2025,Baa3,5/24/2024,10,BBB+,3/24/2025,8
,Australia,9/3/2025,STABLE,11/13/2003,STABLE,6/6/2021,Aaa,10/20/2002,1,AAA,2/25/2011,1
,Austria,8/22/2025,NEG,8/22/2025,STABLE,2/14/2025,Aa1,6/24/2016,2,AA+,1/13/2012,2
,Azerbaijan,7/4/2025,POS,7/4/2025,STABLE,1/22/2021,Baa3,7/4/2025,10,BB+,1/29/2016,11
,Bahamas,9/26/2025,POS,4/7/2025,STABLE,9/26/2025,B1,10/6/2022,14,BB-,9/26/2025,13
,Bahrain,4/23/2025,STABLE,5/13/2024,NEG,4/23/2025,B2,8/2/2018,15,B+,12/1/2017,14
,Bailiwick Of Guernsey,,,,,,,,100,,,100
,Bangladesh,11/18/2024,NEG,11/18/2024,STABLE,7/30/2024,B2,11/18/2024,15,B+,7/30/2024,14
,Barbados,10/24/2025,STABLE,4/14/2025,STABLE,10/24/2025,B2,4/14/2025,15,B+,10/24/2025,14
,Belarus,10/6/2023,STABLE,6/2/2023,,,C,6/2/2023,22,NR,9/8/2023,31
,Belgium,10/2/2025,NEG,10/11/2024,NEG,4/25/2025,Aa3,12/16/2011,4,AA,1/13/2012,3
,Belize,10/15/2024,STABLE,10/15/2024,STABLE,11/9/2021,Caa1,10/15/2024,17,B-,11/9/2021,16
