"Current account balance, percent of GDP (Percent of GDP)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Estimates start after
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.9,29.6,37.2,30.2,20.8,63.4,33.8,41.6,29.4,26.6,10.9,1.4,6.5,3.7,9,7.6,12.1,11.7,14,-0.1,-18.5,-20.3,-39.6,-40.2,no data,no data,no data,no data,no data,no data,2024
Albania,0.1,-0.5,-2.3,-1.6,-1.3,-1.2,0.1,0.3,-1,-2.7,-4.3,-12.4,-8.2,1.7,-3.7,-2,-7.9,-13.2,-7,-1.9,-7.1,-6.3,-10.2,-7.8,-5.9,-9.1,-6.7,-10.6,-15.8,-15.4,-11.3,-12.9,-10.2,-9.3,-10.8,-8.6,-7.6,-7.5,-6.7,-7.5,-8.6,-7.7,-5.8,-1.2,-2.4,-2,-2.8,-3.4,-3.1,-3,-3.1,-3,2024
Algeria,0.5,-0.4,-0.9,-0.2,0.1,1.5,-3.3,0.2,-3.4,-1.8,2,4.7,2.4,1.5,-4,-4.9,2.4,6.6,-1.7,0,15.4,11.9,7.1,12,12.1,19.8,23.5,21.5,19.1,0.3,6.8,9.1,5.4,0.4,-3.9,-14.6,-14.6,-11.8,-8.7,-8.7,-11.3,-2.4,8.4,2.4,-1.1,-7.7,-1.2,-2.5,-2.9,-2.4,-2,-1.5,2024
American Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Andorra,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18,15.5,15,11.6,14.2,15.9,15.9,16,16,16.1,16.2,16.2,16.2,2024
Angola,0.8,-2.2,-6.1,-4.2,-1.9,1.8,-2.9,3.8,-3.6,-0.9,-1.4,-3.6,-5.9,-7.5,-5.2,-3.6,31.1,-7.2,-17.8,-17.3,6.3,-11.6,-0.9,-3.5,2.5,12.4,18.2,14.5,7.3,-9.3,7.9,10.4,9.6,5.4,-2.3,-7.8,-2.6,-0.4,6.4,5.4,1.3,10.1,8.5,3.7,5.3,0.4,2.2,1,0.8,0.8,0.7,0.6,2025
Anguilla,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Antigua and Barbuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,2,-2.4,-7.7,-14,-6.5,-15.6,-17.6,-15.1,-12.9,-7.5,-11.6,-11.8,-11.3,-10.8,-10.4,-9.9,-9.4,2025
Argentina,-1.1,-3,-3.1,-2.1,-1.9,-1,-2.4,-3.5,-1.1,1.2,3,-0.2,-2.5,-3,-3.8,-1.8,-2.4,-3.8,-4.4,-3.8,-2.9,-1.3,7.7,5.6,1.8,2.5,2.8,2.1,1.5,2.2,-0.4,-1,-0.4,-2.1,-1.6,-2.7,-2.7,-4.8,-5.2,-0.8,0.7,1.4,-0.6,-3.2,0.9,-1.1,-0.8,-0.6,-0.6,-0.5,-0.4,-0.3,2025
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-46.3,-6,3.8,-17,-18.2,-19.3,-22,-16.9,-15.8,-10.4,-6.2,-6.2,-2.2,-2.5,-2.4,-7.4,-14.2,-16.5,-13.6,-10.4,-10,-7.3,-7.8,-2.7,-1,-1.3,-7.2,-7.1,-4,-3.4,0.7,-2.8,-4.6,-6.7,-6,-5.2,-4.7,-4.6,-4.5,-4.4,2024
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-25.3,11.3,16.4,-17,-8.2,12.2,4.9,12.7,9.7,0,6.9,-18.7,-10,3.6,-12,-4.8,3.9,4.6,1,-0.5,0.2,-17.2,-2.3,6.4,5.4,9.6,7.7,6.5,5.8,5.4,5.1,4.7,4.7,2024
Australia,-2.4,-4.1,-4.1,-3.1,-4.1,-4.9,-5,-3.4,-3.8,-6,-4.9,-3.3,-3.3,-3,-4.5,-5,-3.5,-2.9,-4.9,-5.5,-4,-2.3,-3.8,-5.3,-6.3,-6,-5.9,-6.7,-4.9,-4.5,-3.7,-3,-4.4,-3.4,-3.1,-4.7,-3.5,-2.9,-2.6,-0.1,1.6,2.3,0.3,-0.4,-2.2,-2.6,-2.3,-2.2,-2.3,-2.3,-2.4,-2.4,2025
Austria,-4.8,-4.4,1,0.4,-0.3,-0.2,0.2,-0.2,-0.2,0.2,0.7,0,-0.4,-0.5,-1.5,-2.9,-2.9,-2.6,-1.9,-2.3,-0.7,-0.8,2.1,1.6,2.1,2.3,3.3,3.8,4.5,2.6,2.9,1.6,1.5,1.7,2.4,1.6,2.6,1.3,0.8,2.4,3.4,1.7,-1.3,1.6,1.5,1,0.4,0.7,1.6,2.1,2.4,2.5,2024
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-16.6,-12.2,-5.5,-13.2,-25.9,-21.2,-31.9,-13.1,-3.5,-0.9,-12.3,-27.8,-29.8,1.3,17.7,27.3,33.7,23,28.4,26,21.4,16.6,13.9,-0.4,-3.6,4.1,12.8,9.1,-0.5,15.1,29.8,11.5,6.3,5.5,9.7,5.4,2,1.6,1,0.6,2024
"Bahamas, The",-0.6,-3.1,-2.2,-1.2,-1.3,-1,-0.8,-1.2,-1.4,-1.7,-0.8,-3.5,0.6,5.6,3.8,2.3,0.3,-5.4,-10.1,1.4,-1.5,-3.8,0.1,-0.2,1.6,-3.1,-10.1,-9,-8.3,-8.1,-7.9,-10.9,-14.3,-14.5,-19.7,-12.5,-12.4,-13.3,-9.4,-2.1,-22,-20.2,-8.9,-7,-7.6,-10,-9.1,-8.4,-7.5,-6.7,-6.1,-5.9,2025
Bahrain,4.9,10.2,9.6,2.3,4.6,0.9,-2,-5.3,4.1,-4,1.3,-11.1,-14.6,-5.4,-3.8,3.4,3.5,-0.4,-10.7,-0.3,9,2.4,-0.6,1.7,3.5,8.9,11.3,12.8,8.4,2.3,2.9,8.4,8.1,7.1,4.4,-2.3,-4.4,-3.9,-6.2,-2,-9.1,6.4,14.7,5.8,4.8,5.9,3.9,4.8,3.9,3.3,2.3,2,2025
Bangladesh,-0.8,-1.8,-2.7,-2.2,-1.9,-2.4,-2.2,-1.7,-2.4,-3.2,-2.7,-1.5,-0.5,-0.3,-0.5,-1.2,-1.7,-1.4,-0.9,-0.6,-0.5,-1.6,0.2,0.2,0.2,-0.7,0.7,1,0.3,1.7,2.3,-1.4,-0.3,1.3,0.7,1.2,1.6,-0.5,-3,-1.3,-1.5,-1.1,-4,-2.6,-1.4,0,-0.6,-1.2,-1.4,-1.9,-2.1,-2,2025
Barbados,-2.5,-10.3,-3.3,-3.8,0.8,0.3,-0.9,-2.9,0.1,-0.1,-1.7,-1.1,6.8,3.1,6,2.3,3.3,-1.3,-2.7,-4,-3.2,-3.3,-4.6,-3.2,-9.1,-9,-8.9,-4.1,-8.1,-5,-3.8,-9.9,-7.1,-6.9,-7.6,-5.1,-3.6,-3.2,-3.4,-1,-5.1,-7.9,-7.9,-7.8,-3.9,-7.5,-7,-6.6,-6,-5.5,-5.2,-5.2,2024
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.7,-3.8,-2.8,-4.4,-3.6,-6.1,-6.7,-1.6,-4.3,-4.1,-2.2,-2.5,-5,1.5,-3.6,-6.4,-7.9,-12.1,-14.5,-8.2,-2.8,-10,-6.6,-3.3,-3.4,-1.7,0,-1.9,-0.3,3.2,3.4,-1.8,-3.1,-2.6,-2.7,-3.4,-3.4,-3.4,-3.4,-3.3,2024
Belgium,-4,-4.1,-2.9,-0.6,-0.1,0.8,2.6,1.9,2.3,2.3,1.8,2.3,2.9,5.1,5.3,5.3,5,5.5,5.1,7.8,4,3.3,4.5,3.4,3.1,2,1.9,1.5,-1,1.7,1.6,-1.9,-0.1,1,0.8,1.4,0.6,0.7,-0.9,0.1,0.9,1.8,-1.9,0.2,-0.4,-2.1,-2,-1.9,-1.3,-1.1,-0.8,-0.7,2024
Belize,-1.6,-2,-7.3,-4.9,-1.9,3.3,4,2.7,-0.6,-4,2.8,-4.3,-4.1,-6.4,-5.2,-2.1,-0.8,-3.7,-4.5,-6.2,-14.2,-16.2,-13.3,-14.1,-11.1,-10.3,-1.6,-3.1,-8.3,-4.9,-2.6,-1.1,-1.7,-3.6,-6.4,-8,-7.3,-7,-6.6,-7.8,-6.2,-6.5,-8.3,-1,-1.9,-3.5,-4.5,-3.9,-3.5,-3.3,-3.2,-3.2,2024
Benin,-4.7,-16.9,-20.9,-11.7,-3.7,-2.6,-2.7,-1.5,-4.5,-0.6,-0.7,-8,-2.4,-1.9,0.5,-5.6,-1.3,-5,-3.9,-4.2,-2.3,-2,-3.7,-6.2,-4.7,-3.4,-3.1,-6.5,-5.5,-6.7,-5.6,-4.8,-5.2,-5.4,-6.7,-6,-3,-4.2,-4.5,-3.9,-1.7,-4.2,-5.7,-8.2,-6,-5.7,-5,-4.9,-4.6,-4.4,-4.1,-4,2023
Bermuda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Bhutan,10.9,3.4,-47.3,-48.5,-55.9,-44.7,-47.2,-34.8,-20.7,-26,-9.5,-9.7,-28.3,-15.4,-13,14.7,14,5,9.7,2.2,-8.7,-8.3,-15.6,-22.3,-17.4,-28.8,-4.3,7.8,-8.2,-6,-20.8,-35.1,-19.7,-23.5,-25,-25.5,-29,-22,-17.4,-19.2,-14.8,-11.2,-29.5,-35,-20.4,-18.9,-19.3,-21.9,-21.7,-20.6,-19.8,-18.4,2024
Bolivia,-0.2,-7.7,-3.2,-2.7,-1.9,-6.9,-7.2,-8.8,-2.8,0.7,-3.8,-4.5,-6.7,-6.8,-3.7,-4.6,-4.1,-6.4,-7.1,-5.3,-4.8,-3,-3.9,0.9,3.3,5.8,10.2,10.7,10.4,4.1,3.8,1.9,6.3,2.9,1.5,-4.8,-4.6,-4.1,-3.5,-2.8,0,3.3,2.2,-2.2,-2.4,-1.9,1.2,no data,no data,no data,no data,no data,2025
"Bonaire, Sint Eustatius and Saba",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-6.5,-8.7,-7.1,-12.8,-17.7,-19.2,-16.1,-16.4,-7.8,-9.2,-13.8,-6.4,-6,-9.5,-8.6,-5.3,-7.3,-5,-4.7,-4.8,-3.2,-2.6,-2.8,-1.8,-4.4,-2.1,-3.5,-3.2,-4.6,-4.4,-4.3,-4.2,-4,-4,2024
Botswana,-12.9,-29.3,-13.2,-6.5,-4.9,7.3,7.2,26.5,6.3,14.3,-0.5,8,5,10.8,5.2,6.2,10,14.4,3.5,10.8,9.6,10.9,4.9,9.6,3.6,16.2,19.7,15.7,1.4,-6.4,-5.9,-0.9,-5.9,4.5,11.1,2.2,8,5.6,0.4,-6.9,-9.8,-1.8,-0.6,1.5,-4.2,3.7,-1.9,-1.4,-2,-1.8,-2.1,-2.4,2024
Brazil,-8.8,-7,-9.1,-4.8,0,-0.1,-2.1,-0.5,1.3,0.2,-0.8,-0.4,1.6,-0.1,-0.3,-2.4,-2.8,-3.6,-4,-4.5,-4,-4.4,-1.8,0.4,1.3,1.3,1,-0.2,-2.1,-1.8,-3.9,-3.2,-3.8,-3.6,-4.5,-3.5,-1.7,-1.2,-2.8,-3.4,-1.6,-2.4,-2.1,-1.2,-3,-3,-2.7,-2.4,-2,-1.9,-2,-1.8,2025
British Indian Ocean Territories,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
British Virgin Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2026
Brunei Darussalam,no data,no data,no data,no data,no data,65.4,60.6,58.5,60.9,52.4,47.8,46.9,32.7,21.9,26.5,16.1,18.8,17.2,14,26.7,45.1,31.4,27.1,34.2,33,38.2,41.1,35.6,43.5,33.4,36.6,34.7,29.8,20.9,30.7,16.7,12.9,16.4,6.9,6.6,4.3,11.1,19.5,12.9,14.5,13.7,14.5,15.6,16.1,15.8,15.9,15.9,2024
Bulgaria,2.5,0.3,0.4,0.1,1.2,-0.3,-2.7,-1.8,-0.6,-1.1,-5.7,-2.6,-3,-17,-0.3,-1.1,3.6,13.5,1.1,-2.9,-3.1,-3.6,-0.6,-3.4,-4.3,-9.4,-15.3,-23.9,-22,-8.3,-1.7,0.3,-0.8,1.3,2.1,0,3,3.2,0.7,1.7,1.6,0.2,-1.4,-1.2,-1.4,-5.9,-4,-3.2,-2.7,-0.5,0.4,1.2,2025
Burkina Faso,-2,-2,-4.8,-3.4,-0.2,-3.6,-0.8,-1.9,-1.6,3.4,-2.2,-2.6,-0.6,-2,0.7,-3.4,-7.3,-8.1,-6.6,-10,-10.8,-9.1,-8.3,-7.8,-9.8,-10.3,-8.3,-7.4,-10.2,-4,-1.8,-1.3,-1.3,-10,-7.2,-7.6,-6.1,-5,-4.2,-3.3,4.2,0.4,-7.5,-5.1,-3.5,6.7,8.6,8.4,6.9,6,5.1,5.5,2023
Burundi,-7.5,-5.8,-10.5,-10.3,-10.1,-3,-2.5,-7,-5.5,-0.9,-5.3,-2.4,-4.7,-2.6,-1.6,0.9,-4,0.5,-4.2,-3.9,-6.2,-3.1,-11.4,-13.1,-6.3,-4.7,-21.3,-32.4,-9.8,-6.3,-12.2,-14.5,-19.7,-20.6,-15.8,-11.5,-11.1,-11.8,-12.8,-11.6,-11.2,-12.6,-16.8,-14.8,-8.6,-6.1,-5.5,-5.3,-5.4,-5.3,-5.1,-4.8,2024
Cabo Verde,-45.3,-12.6,-8.8,-8.4,-4.8,-3.1,0.9,5.2,-1.9,-8,-4.4,-3.8,-4.3,-7.7,-10.2,-10.8,-5.7,-4.9,-8.9,-11.9,-8.7,-7.6,-8,-8.2,-10.5,-2.4,-4.1,-11.9,-12.5,-13.4,-11.3,-14.8,-11.5,-4.4,-8.3,-2.9,-3.4,-7,-4.8,0.2,-15.4,-12.1,-3.5,-2.7,3.9,3.6,-0.4,-1.2,-1.8,-2.1,-2.3,-2.3,2024
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-1,-1.6,-3.4,-4.7,-7,1.3,-5.5,-4.8,-2.5,-0.9,-2.2,-3.3,-1.9,-3.4,-0.6,-1.4,-5.6,-8.1,-7.2,-6.5,-7,-7.1,-7.2,-7.3,-6.9,-6.5,-9,-8.3,-1,-30.1,-19.2,1.3,0.5,-2.9,-6.3,-6.6,-7.3,-7,-6.8,-6.8,2024
